UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
225308,R,420.0,R,1459.0,R,29.0,R,23.0,R,0.0,R,0.0,R,23.0,R,21.0,R,91.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,16.0,2022
225371,R,242.0,R,1277.0,R,19.0,R,391.0,R,0.0,R,0.0,R,391.0,R,201.0,R,51.0,R,136.0,R,0.0,R,0.0,R,136.0,R,58.0,R,43.0,R,16.0,2022
225414,R,291.0,R,1400.0,R,21.0,R,263.0,R,0.0,R,0.0,R,263.0,R,175.0,R,67.0,R,72.0,R,0.0,R,0.0,R,72.0,R,37.0,R,51.0,R,15.0,2022
225423,R,4176.0,R,16819.0,R,25.0,R,3646.0,R,0.0,R,0.0,R,3646.0,R,2280.0,R,63.0,R,3377.0,R,0.0,R,0.0,R,3377.0,R,1541.0,R,46.0,R,19.0,2022
225432,R,1210.0,R,3427.0,R,35.0,R,1137.0,R,1.0,R,0.0,R,1136.0,R,740.0,R,65.0,R,223.0,R,0.0,R,0.0,R,223.0,R,119.0,R,53.0,R,18.0,2022
225502,R,183.0,R,651.0,R,28.0,R,129.0,R,0.0,R,0.0,R,129.0,R,77.0,R,60.0,R,20.0,R,0.0,R,0.0,R,20.0,R,8.0,R,40.0,R,16.0,2022
225511,R,5102.0,R,10222.0,R,50.0,R,4998.0,R,0.0,R,0.0,R,4998.0,R,4225.0,R,85.0,R,439.0,R,0.0,R,0.0,R,439.0,R,291.0,R,66.0,R,21.0,2022
225520,R,345.0,R,2062.0,R,17.0,R,365.0,R,0.0,R,0.0,R,365.0,R,230.0,R,63.0,R,119.0,R,0.0,R,0.0,R,119.0,R,53.0,R,45.0,R,25.0,2022
226019,R,723.0,R,2421.0,R,30.0,R,736.0,R,1.0,R,0.0,R,735.0,R,496.0,R,67.0,R,183.0,R,1.0,R,0.0,R,182.0,R,66.0,R,36.0,R,18.0,2022
226091,R,1369.0,R,2243.0,R,61.0,R,1339.0,R,0.0,R,0.0,R,1339.0,R,795.0,R,59.0,R,206.0,R,0.0,R,0.0,R,206.0,R,114.0,R,55.0,R,20.0,2022
